game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y
2024-06-12,Christian Walker,572233,667755,0,8,93.93,18.7
2024-08-27,Dansby Swanson,621020,683003,1,4,164.34,32.95
2024-08-28,Jazz Chisholm Jr.,665862,669022,2,2,130.77,16.39
2024-07-09,Keibert Ruiz,660688,657585,0,9,236.14,69.2
2024-05-18,Jonny DeLuca,676356,663878,0,8,37.41,83.97
2024-06-12,Riley Greene,682985,640448,1,9,26.76,96.3
2024-07-05,Michael A. Taylor,572191,686654,1,8,223.02,90.48
2024-07-11,Juan Soto,665742,669358,1,3,77.55,33.69
2024-07-28,Cal Raleigh,663728,676979,1,1,68.03,57.27
2024-06-26,Jhonkensy Noel,678877,680570,2,2,104.54,33.29
2024-06-25,Andrew Benintendi,643217,676272,0,1,237.67,81.88
2024-07-31,Mauricio Dubón,643289,670059,2,6,55.21,53.7
2024-06-06,Ryan O'Hearn,656811,554340,2,9,191.67,48.72
2024-09-14,Parker Meadows,678009,622554,0,9,202.21,53.33
2024-05-19,Jose Miranda,669304,676440,1,3,47.65,66.82
2024-09-26,Bryan De La Cruz,650559,683232,0,7,219.35,81.94
2024-06-24,Adolis García,666969,665625,0,6,171.33,48.02
2024-06-09,Jarred Kelenic,672284,607179,0,9,169.21,37.7
2024-07-21,Rhys Hoskins,656555,643377,1,8,66.33,56.08
2024-05-24,Patrick Bailey,672275,657585,2,8,199.33,44.2
2024-07-20,Gavin Lux,666158,678394,2,2,200.29,63.91
2024-05-03,Randy Arozarena,668227,673380,1,4,38.55,40.32
2024-09-11,Seiya Suzuki,673548,676272,1,3,186.16,56.84
2024-09-05,Matt Wallner,670242,671737,1,3,206.98,79.53
2024-06-13,Jake Burger,669394,622663,1,6,212.12,76.15
2024-07-31,Matt Olson,621566,683232,0,8,162.61,34.5
2024-07-05,Carlos Correa,621043,623352,2,9,49.11,73.55
2024-10-29,Will Smith,669257,661563,0,5,185.39,64.31
2024-08-16,Luke Raley,670042,694973,0,4,204.26,51.19
2024-05-13,Bryson Stott,681082,621242,0,9,190.74,56.58
2024-06-02,Jose Miranda,669304,686613,1,6,67.52,45.16
2024-08-07,Kyle Schwarber,656941,694813,0,1,46.41,67.97
2024-07-08,Austin Riley,663586,700270,2,1,100.78,26.75
2024-05-24,J.P. Crawford,641487,669022,0,1,92.29,41.47
2024-09-27,Marcus Semien,543760,670871,2,9,87.94,40.43
2024-04-20,Salvador Perez,521692,669203,2,6,35.87,66.46
2024-09-14,Luke Raley,670042,683004,2,5,162.88,26.16
2024-04-29,Christopher Morel,666624,621242,2,9,47.9,55.7
2024-06-25,Manny Machado,592518,669022,1,1,59.01,54.5
2024-09-06,Mark Vientos,668901,458677,0,10,26.63,69.67
2024-05-18,Jazz Chisholm Jr.,665862,622663,1,3,167.34,36.89
2024-08-04,Brent Rooker,667670,689981,2,1,68.28,35.02
2024-05-05,Aaron Judge,592450,669373,2,1,200.56,55.35
2024-03-30,Oswaldo Cabrera,665828,650556,0,7,213.66,91.99
2024-05-20,Rafael Devers,646240,671737,1,4,44.29,67.54
2024-05-10,Luis Campusano,669134,607192,1,3,84.67,30.19
2024-08-10,Rhys Hoskins,656555,663574,2,8,49.59,53.64
2024-09-12,Nathaniel Lowe,663993,700187,0,7,34.46,90.98
2024-05-22,Edmundo Sosa,624641,642546,1,4,199.73,62.82
2024-05-24,Jacob Stallings,607732,621237,2,9,55.93,40.58
2024-04-17,Salvador Perez,521692,656629,2,8,85.39,29
2024-06-06,Christopher Morel,666624,668881,0,6,126.82,31.2
2024-05-31,Christian Walker,572233,657585,2,9,22.82,85.45
2024-08-09,Adrian Del Castillo,680728,656546,0,9,220.24,58.3
2024-06-27,Adley Rutschman,668939,642546,0,7,212.92,68.95
2024-08-25,Ramón Urías,602104,579328,1,5,91.49,34.19
2024-06-02,Juan Soto,665742,605483,1,1,188.3,36.04
2024-09-28,Triston Casas,671213,669358,2,1,74.45,43.6
2024-06-24,Taylor Ward,621493,665622,1,1,182.63,58.87
2024-04-19,Alec Bohm,664761,676979,2,1,196.21,74.63
2024-05-21,Corey Seager,608369,656546,1,8,184.59,57.61
2024-08-13,Kerry Carpenter,681481,669923,1,3,47.38,70.46
2024-04-22,Rhys Hoskins,656555,683003,0,5,68.09,41.96
2024-09-18,Marcell Ozuna,542303,663574,0,7,87.71,40.58
2024-04-05,Tyler O'Neill,641933,667755,1,9,37.4,71.59
2024-05-17,Nolan Gorman,669357,678394,1,2,79.22,41.25
2024-07-13,Eugenio Suárez,553993,663878,1,8,38.93,44.86
2024-10-26,Freddie Freeman,518692,607074,2,3,201.93,55.13
2024-08-07,Ian Happ,664023,663485,1,4,228.74,85.9
2024-10-12,Lane Thomas,657041,669373,1,5,72.88,47.85
2024-05-13,Joc Pederson,592626,668933,0,3,162.75,27.17
2024-08-10,Corbin Carroll,682998,628708,2,7,49.3,67.76
2024-10-06,Brandon Nimmo,607043,689147,2,7,189.79,54.72
2024-08-04,Andrew Benintendi,643217,660896,1,7,214.98,82.82
2024-10-05,Shohei Ohtani,660271,656302,2,2,214.59,76.77
2024-06-24,Nick Senzel,669222,660853,2,10,68.46,57.19
2024-04-11,Bobby Witt Jr.,677951,650556,2,7,178.21,53.61
2024-06-09,J.P. Crawford,641487,666142,0,1,181.71,34.07
2024-07-20,Cedric Mullins,656775,570632,2,3,212.25,56.86
2024-06-17,Rafael Devers,646240,579328,2,1,58.06,41.04
2024-08-09,Willson Contreras,575929,672582,0,9,16.39,65.42
2024-05-10,Adam Frazier,624428,608032,1,9,234.32,75.11
2024-09-29,Nathaniel Lowe,663993,670871,0,8,235.21,84.8
2024-07-24,Matt Vierling,663837,676440,2,1,212.93,86.26
2024-04-10,Zack Gelof,680869,666720,0,8,191.39,52.78
2024-06-15,Austin Riley,663586,664076,2,7,160.28,30.36
2024-03-30,Eguy Rosario,666703,669062,0,9,44.21,81
2024-08-14,Bobby Witt Jr.,677951,686973,0,3,77.76,45.48
2024-07-10,Salvador Perez,521692,669467,1,6,115.04,27.65
2024-09-24,Marcell Ozuna,542303,592773,0,5,212.45,74.51
2024-06-09,Trent Grisham,663757,607192,1,6,209.63,64.2
2024-06-16,Pete Alonso,624413,656302,0,1,75.04,50.11
2024-05-31,Jesús Sánchez,660821,622786,1,7,86.53,34.67
2024-08-28,Yordan Alvarez,670541,675650,1,8,139.67,34.83
2024-04-28,Mark Vientos,668901,669461,2,11,151.81,37.58
2024-06-09,Oswaldo Cabrera,665828,607192,0,3,232.89,101.29
2024-06-16,Gunnar Henderson,683002,554430,0,1,94.37,32.27
2024-09-03,Kyle Schwarber,656941,643338,0,9,220.81,53.81
2024-06-06,Nick Gonzales,693304,621111,2,3,24.25,90.68
2024-05-19,Isaac Paredes,670623,647315,2,9,36.38,88.39
2024-08-22,Ernie Clement,676391,657508,0,2,41.11,70.32
2024-03-28,Paul Goldschmidt,502671,607192,0,4,42.1,59.49
2024-04-25,Jurickson Profar,595777,683232,1,7,238.81,78.61
2024-09-15,Eric Haase,606992,656464,2,6,15.01,75.46
2024-04-10,Blake Perkins,663368,668881,1,6,177.28,52.73
2024-07-28,Orlando Arcia,606115,592773,0,7,82.92,41.46
2024-06-15,Hunter Goodman,696100,683003,0,3,149.94,22.37
2024-04-28,Freddie Freeman,518692,592332,2,6,144.23,27.88
2024-04-16,Matt Chapman,656305,677960,2,2,77.95,32.22
2024-09-14,Lane Thomas,657041,685801,1,8,59.25,54.56
2024-04-02,Bryce Harper,547180,668933,2,1,102,30.67
2024-06-08,José Ramírez,608070,682610,2,1,198.73,53.73
2024-08-17,Jeimer Candelario,600869,672582,1,7,24.85,93.01
2024-07-07,Christian Vázquez,543877,623352,0,9,33.69,84.9
2024-05-31,Eugenio Suárez,553993,622663,1,6,210.97,85.05
2024-06-24,Cal Raleigh,663728,671737,1,4,180.24,36.36
2024-09-09,Brandon Lowe,664040,608032,0,9,108.53,32.47
2024-05-07,Kyle Tucker,663656,661563,1,1,238.25,81.27
2024-07-19,Jeff McNeil,643446,665795,0,5,135.39,26.64
2024-07-12,Marcell Ozuna,542303,660853,0,9,165.97,32.79
2024-05-28,Freddie Freeman,518692,605347,1,10,211.1,69.13
2024-09-28,Emmanuel Rivera,656896,686973,1,5,75.07,43.09
2024-06-19,Josh Naylor,647304,657508,2,5,224.13,70.86
2024-09-07,Dylan Crews,686611,682847,2,2,67.72,46.07
2024-10-18,Austin Wells,669224,668909,2,2,150.68,36.13
2024-03-28,Mitch Haniger,571745,678394,2,4,205.43,71.02
2024-05-05,Willson Contreras,575929,676979,0,4,127.68,26.64
2024-06-18,Anthony Santander,623993,605280,0,9,231.63,83.97
2024-07-29,Michael A. Taylor,572191,623352,2,9,83.58,41.06
2024-07-14,Lawrence Butler,671732,622554,0,7,52.06,76.52
2024-09-12,Tyler Nevin,663527,623352,1,9,201.61,71.88
2024-07-02,Nathaniel Lowe,663993,656302,0,3,54.16,61.38
2024-08-12,Mookie Betts,605141,642547,2,3,43.67,71.04
2024-09-18,Tommy Edman,669242,677960,1,4,217.9,83.82
2024-08-21,Elly De La Cruz,682829,647315,0,8,27.92,101.12
2024-05-05,Jakson Reetz,656883,621237,1,9,40.47,64.29
2024-09-02,Wyatt Langford,694671,596133,0,7,35.44,59.32
2024-08-23,LaMonte Wade Jr.,664774,622491,1,1,137.53,36.8
2024-07-11,Austin Wells,669224,669358,0,2,232.22,94
2024-05-26,Adley Rutschman,668939,676979,1,6,38.03,62.42
2024-06-05,Zack Gelof,680869,669302,1,3,169.08,23.84
2024-08-09,Bryce Harper,547180,669194,1,7,27.74,83.42
2024-07-10,Christopher Morel,666624,669203,1,2,129.07,32.26
2024-03-31,Tyler O'Neill,641933,682243,1,2,22.34,93.27
2024-08-11,Andrew McCutchen,457705,607455,0,8,38.95,57.8
